slide_id,fp_position,file_name
176,4,lockmass_050525_slide_176_186_N2_Slide_A_4.txt
176,5,lockmass_050525_slide_176_186_N2_Slide_A_5.txt
176,6,lockmass_050525_slide_176_186_N2_Slide_A_6.txt
176,7,lockmass_050525_slide_176_186_N2_Slide_A_7.txt
176,8,lockmass_050525_slide_176_186_N2_Slide_A_8.txt
186,1,lockmass_050525_slide_176_186_N2_Slide_B_1.txt
186,4,lockmass_050525_slide_176_186_N2_Slide_B_4.txt
186,5,lockmass_050525_slide_176_186_N2_Slide_B_5.txt
186,6,lockmass_050525_slide_176_186_N2_Slide_B_6.txt
186,7,lockmass_050525_slide_176_186_N2_Slide_B_7.txt
175,1,lockmass_050525_slide_175_185_Slide_A_1.txt
175,2,lockmass_050525_slide_175_185_Slide_A_2.txt
175,3,lockmass_050525_slide_175_185_Slide_A_3.txt
175,4,lockmass_050525_slide_175_185_Slide_A_4.txt
175,7,lockmass_050525_slide_175_185_Slide_A_7.txt
175,8,lockmass_050525_slide_175_185_Slide_A_8.txt
185,1,lockmass_050525_slide_175_185_Slide_B_1.txt
185,2,lockmass_050525_slide_175_185_Slide_B_2.txt
185,3,lockmass_050525_slide_175_185_Slide_B_3.txt
185,4,lockmass_050525_slide_175_185_Slide_B_4.txt
185,6,lockmass_050525_slide_175_185_Slide_B_6.txt
185,8,lockmass_050525_slide_175_185_Slide_B_8.txt
174,2,lockmass_060525_slide_174_184_Slide_A_2.txt
174,3,lockmass_060525_slide_174_184_Slide_A_3.txt
174,4,lockmass_060525_slide_174_184_Slide_A_4.txt
174,5,lockmass_060525_slide_174_184_Slide_A_5.txt
174,6,lockmass_060525_slide_174_184_Slide_A_6.txt
174,8,lockmass_060525_slide_174_184_Slide_A_8.txt
184,2,lockmass_060525_slide_174_184_Slide_B_2.txt
184,4,lockmass_060525_slide_174_184_Slide_B_4.txt
184,5,lockmass_060525_slide_174_184_Slide_B_5.txt
184,6,lockmass_060525_slide_174_184_Slide_B_6.txt
184,7,lockmass_060525_slide_174_184_Slide_B_7.txt
173,1,lockmass_060525_slide_173_183_N_Slide_A_1.txt
173,2,lockmass_060525_slide_173_183_N_Slide_A_2.txt
173,3,lockmass_060525_slide_173_183_N_Slide_A_3.txt
173,4,lockmass_060525_slide_173_183_N_Slide_A_4.txt
173,5,lockmass_060525_slide_173_183_N_Slide_A_5.txt
173,6,lockmass_060525_slide_173_183_N_Slide_A_6.txt
173,7,lockmass_060525_slide_173_183_N_Slide_A_7.txt
173,8,lockmass_060525_slide_173_183_N_Slide_A_8.txt
183,2,lockmass_060525_slide_173_183_N_Slide_B_2.txt
183,3,lockmass_060525_slide_173_183_N_Slide_B_3.txt
183,6,lockmass_060525_slide_173_183_N_Slide_B_6.txt
183,8,lockmass_060525_slide_173_183_N_Slide_B_8.txt
172,1,lockmass_060525_slide_172_182_N_Slide_A_1.txt
172,2,lockmass_060525_slide_172_182_N_Slide_A_2.txt
172,3,lockmass_060525_slide_172_182_N_Slide_A_3.txt
172,4,lockmass_060525_slide_172_182_N_Slide_A_4.txt
172,6,lockmass_060525_slide_172_182_N_Slide_A_6.txt
172,8,lockmass_060525_slide_172_182_N_Slide_A_8.txt
182,2,lockmass_060525_slide_172_182_N_Slide_B_2.txt
182,4,lockmass_060525_slide_172_182_N_Slide_B_4.txt
171,1,lockmass_060525_slide_171_181_N_Slide_A_1.txt
171,3,lockmass_060525_slide_171_181_N_Slide_A_3.txt
171,5,lockmass_060525_slide_171_181_N_Slide_A_5.txt
171,7,lockmass_060525_slide_171_181_N_Slide_A_7.txt
171,8,lockmass_060525_slide_171_181_N_Slide_A_8.txt
181,1,lockmass_060525_slide_171_181_N_Slide_B_1.txt
181,3,lockmass_060525_slide_171_181_N_Slide_B_3.txt
181,4,lockmass_060525_slide_171_181_N_Slide_B_4.txt
181,5,lockmass_060525_slide_171_181_N_Slide_B_5.txt
181,8,lockmass_060525_slide_171_181_N_Slide_B_8.txt
